DATE,AT,HT,WON,LOST,SOLOST,HWR,HLR,HSLR,AWR,ALR,ASLR,HW,AW,HS,AS,RES
11/2/23,TBL,CBJ,CBJ,TBL,,3,5,1,4,2,3,TRUE,FALSE,FALSE,FALSE,HW
11/2/23,FLA,DET,FLA,DET,,6,3,1,4,3,1,FALSE,TRUE,FALSE,FALSE,AW
11/2/23,CAR,NYR,NYR,CAR,,7,2,0,6,4,0,TRUE,FALSE,FALSE,FALSE,HW
11/2/23,LAK,OTT,LAK,OTT,,4,4,0,5,2,2,FALSE,TRUE,FALSE,FALSE,AW
11/2/23,NYI,WSH,NYI,WSH,,4,3,1,4,2,2,FALSE,TRUE,FALSE,FALSE,AW
11/2/23,NJD,MIN,NJD,MIN,,3,4,2,5,2,1,FALSE,TRUE,FALSE,FALSE,AW
11/2/23,DAL,EDM,DAL,EDM,,2,5,1,6,1,1,FALSE,TRUE,FALSE,FALSE,AW
11/2/23,MTL,ARI,ARI,MTL,,4,4,1,5,4,0,TRUE,FALSE,FALSE,FALSE,HW
11/2/23,NSH,SEA,SEA,NSH,,3,5,2,4,5,0,TRUE,FALSE,FALSE,FALSE,HW
11/2/23,WPG,VGK,VGK,WPG,,9,0,1,4,4,1,TRUE,FALSE,FALSE,FALSE,HW
11/2/23,VAN,SJS,VAN,SJS,,0,9,0,6,2,1,FALSE,TRUE,FALSE,FALSE,AW
11/3/23,PHI,BUF,PHI,BUF,,5,5,0,4,4,2,FALSE,TRUE,FALSE,FALSE,AW
11/3/23,NJD,STL,STL,NJD,,3,4,1,6,2,1,TRUE,FALSE,FALSE,FALSE,HW
11/4/23,NSH,EDM,NSH,EDM,,2,6,1,4,6,0,FALSE,TRUE,FALSE,FALSE,AW
11/4/23,WPG,ARI,WPG,ARI,,5,4,1,4,5,1,FALSE,TRUE,FALSE,FALSE,AW
11/4/23,BOS,DET,DET,BOS,,6,4,1,9,0,1,TRUE,FALSE,FALSE,FALSE,HW
11/4/23,TBL,OTT,TBL,OTT,,4,5,0,4,3,3,FALSE,TRUE,FALSE,FALSE,AW
11/4/23,LAK,PHI,LAK,PHI,,5,4,2,6,2,2,FALSE,TRUE,FALSE,FALSE,AW
11/4/23,MTL,STL,STL,MTL,,4,4,1,5,5,0,TRUE,FALSE,FALSE,FALSE,HW
11/4/23,BUF,TOR,BUF,TOR,,5,3,2,5,6,0,FALSE,TRUE,FALSE,FALSE,AW
11/4/23,CBJ,WSH,WSH,CBJ,,4,4,1,4,5,1,TRUE,FALSE,FALSE,FALSE,HW
11/4/23,CAR,NYI,CAR,,NYI,5,2,2,6,5,0,FALSE,FALSE,FALSE,TRUE,AS
11/4/23,FLA,CHI,CHI,FLA,,3,6,0,5,3,1,TRUE,FALSE,FALSE,FALSE,HW
11/4/23,NYR,MIN,MIN,,NYR,3,5,2,8,2,0,FALSE,FALSE,TRUE,FALSE,HS
11/4/23,CGY,SEA,CGY,SEA,,4,5,2,2,7,1,FALSE,TRUE,FALSE,FALSE,AW
11/4/23,PIT,SJS,PIT,SJS,,0,10,0,3,6,0,FALSE,TRUE,FALSE,FALSE,AW
11/4/23,DAL,VAN,VAN,DAL,,7,2,1,7,1,1,TRUE,FALSE,FALSE,FALSE,HW
11/4/23,COL,VGK,VGK,COL,,10,0,1,7,2,0,TRUE,FALSE,FALSE,FALSE,HW
11/5/23,NJD,CHI,NJD,CHI,,4,6,0,6,3,1,FALSE,TRUE,FALSE,FALSE,AW
11/5/23,VGK,ANA,ANA,VGK,,6,4,0,11,0,1,TRUE,FALSE,FALSE,FALSE,HW
11/6/23,CBJ,FLA,FLA,CBJ,,5,4,1,4,6,1,TRUE,FALSE,FALSE,FALSE,HW
11/6/23,TBL,TOR,TOR,,TBL,5,4,2,5,3,3,FALSE,FALSE,TRUE,FALSE,HS
11/6/23,BOS,DAL,BOS,DAL,,7,2,1,9,1,1,FALSE,TRUE,FALSE,FALSE,AW
11/6/23,EDM,VAN,VAN,EDM,,8,2,1,2,7,1,TRUE,FALSE,FALSE,FALSE,HW
11/7/23,BUF,CAR,CAR,,BUF,7,5,0,6,6,0,FALSE,FALSE,TRUE,FALSE,HS
11/7/23,TBL,MTL,TBL,MTL,,5,6,0,5,3,4,FALSE,TRUE,FALSE,FALSE,AW
11/7/23,MIN,NYI,MIN,NYI,,5,2,3,4,5,2,FALSE,TRUE,FALSE,FALSE,AW
11/7/23,DET,NYR,NYR,DET,,8,2,1,7,4,1,TRUE,FALSE,FALSE,FALSE,HW
11/7/23,WPG,STL,WPG,STL,,5,4,1,5,5,1,FALSE,TRUE,FALSE,FALSE,AW
11/7/23,SEA,ARI,ARI,,SEA,5,5,1,4,6,2,FALSE,FALSE,TRUE,FALSE,HS
11/7/23,NSH,CGY,CGY,NSH,,3,7,1,5,6,0,TRUE,FALSE,FALSE,FALSE,HW
11/7/23,PIT,ANA,PIT,ANA,,7,4,0,4,6,0,FALSE,TRUE,FALSE,FALSE,AW
11/7/23,NJD,COL,COL,NJD,,7,3,0,7,3,1,TRUE,FALSE,FALSE,FALSE,HW
11/7/23,PHI,SJS,SJS,PHI,,0,11,0,5,5,2,TRUE,FALSE,FALSE,FALSE,HW
11/8/23,OTT,TOR,OTT,TOR,,6,4,2,4,6,0,FALSE,TRUE,FALSE,FALSE,AW
11/8/23,FLA,WSH,FLA,,WSH,5,4,1,6,4,1,FALSE,FALSE,FALSE,TRUE,AS
11/8/23,LAK,VGK,LAK,VGK,,11,1,1,7,2,2,FALSE,TRUE,FALSE,FALSE,AW
11/9/23,NYI,BOS,BOS,NYI,,10,1,1,5,3,3,TRUE,FALSE,FALSE,FALSE,HW
11/9/23,DAL,CBJ,DAL,CBJ,,4,7,1,7,3,1,FALSE,TRUE,FALSE,FALSE,AW
11/9/23,MTL,DET,MTL,,DET,7,5,1,5,7,0,FALSE,FALSE,FALSE,TRUE,AS
11/9/23,MIN,NYR,NYR,MIN,,9,2,1,5,5,2,TRUE,FALSE,FALSE,FALSE,HW
11/9/23,VAN,OTT,VAN,OTT,,5,6,0,9,2,1,FALSE,TRUE,FALSE,FALSE,AW
11/9/23,CHI,TBL,CHI,TBL,,6,3,4,4,7,0,FALSE,TRUE,FALSE,FALSE,AW
11/9/23,ARI,STL,STL,ARI,,5,5,1,6,5,1,TRUE,FALSE,FALSE,FALSE,HW
11/9/23,NSH,WPG,WPG,NSH,,6,5,1,5,7,0,TRUE,FALSE,FALSE,FALSE,HW
11/9/23,SEA,COL,SEA,COL,,8,3,0,4,6,3,FALSE,TRUE,FALSE,FALSE,AW
11/9/23,PIT,LAK,PIT,LAK,,8,2,2,5,6,0,FALSE,TRUE,FALSE,FALSE,AW
11/9/23,EDM,SJS,SJS,EDM,,1,11,0,2,8,1,TRUE,FALSE,FALSE,FALSE,HW
11/10/23,MIN,BUF,BUF,MIN,,6,6,1,5,6,2,TRUE,FALSE,FALSE,FALSE,HW
11/10/23,CAR,FLA,FLA,CAR,,7,4,1,8,5,0,TRUE,FALSE,FALSE,FALSE,HW
11/10/23,WSH,NJD,WSH,NJD,,7,4,1,5,4,2,FALSE,TRUE,FALSE,FALSE,AW
11/10/23,CGY,TOR,TOR,,CGY,6,5,2,4,7,1,FALSE,FALSE,TRUE,FALSE,HS
11/10/23,PHI,ANA,PHI,ANA,,7,5,0,5,6,2,FALSE,TRUE,FALSE,FALSE,AW
11/10/23,SJS,VGK,VGK,SJS,,11,2,1,2,11,0,TRUE,FALSE,FALSE,FALSE,HW
11/11/23,CBJ,DET,DET,CBJ,,7,5,2,4,8,1,TRUE,FALSE,FALSE,FALSE,HW
11/11/23,DAL,WPG,DAL,WPG,,7,5,1,8,3,1,FALSE,TRUE,FALSE,FALSE,AW
11/11/23,BOS,MTL,MTL,,BOS,6,7,0,11,1,1,FALSE,FALSE,TRUE,FALSE,HS
11/11/23,CGY,OTT,OTT,CGY,,5,7,0,4,7,2,TRUE,FALSE,FALSE,FALSE,HW
11/11/23,CAR,TBL,CAR,TBL,,6,4,4,8,6,0,FALSE,TRUE,FALSE,FALSE,AW
11/11/23,VAN,TOR,TOR,VAN,,7,5,2,10,2,1,TRUE,FALSE,FALSE,FALSE,HW
11/11/23,WSH,NYI,WSH,NYI,,5,4,3,6,4,2,FALSE,TRUE,FALSE,FALSE,AW
11/11/23,BUF,PIT,PIT,BUF,,6,6,0,7,6,1,TRUE,FALSE,FALSE,FALSE,HW
11/11/23,ARI,NSH,ARI,NSH,,5,8,0,6,6,1,FALSE,TRUE,FALSE,FALSE,AW
11/11/23,STL,COL,STL,COL,,8,4,0,6,5,1,FALSE,TRUE,FALSE,FALSE,AW
11/11/23,EDM,SEA,EDM,SEA,,5,6,3,2,9,1,FALSE,TRUE,FALSE,FALSE,AW
11/11/23,PHI,LAK,PHI,LAK,,8,3,2,6,6,2,FALSE,TRUE,FALSE,FALSE,AW
11/12/23,CHI,FLA,FLA,CHI,,8,4,1,5,7,0,TRUE,FALSE,FALSE,FALSE,HW
11/12/23,DAL,MIN,DAL,MIN,,5,7,2,9,3,1,FALSE,TRUE,FALSE,FALSE,AW
11/12/23,VAN,MTL,VAN,MTL,,7,7,0,10,3,1,FALSE,TRUE,FALSE,FALSE,AW
11/12/23,CBJ,NYR,NYR,,CBJ,10,2,1,4,9,1,FALSE,FALSE,TRUE,FALSE,HS
11/12/23,SJS,ANA,ANA,SJS,,7,6,0,2,12,0,TRUE,FALSE,FALSE,FALSE,HW
11/13/23,NYI,EDM,EDM,NYI,,3,9,1,5,5,3,TRUE,FALSE,FALSE,FALSE,HW
11/13/23,COL,SEA,COL,SEA,,5,7,3,8,5,0,FALSE,TRUE,FALSE,FALSE,AW
11/14/23,BOS,BUF,BOS,BUF,,7,7,1,11,1,2,FALSE,TRUE,FALSE,FALSE,AW
11/14/23,PIT,CBJ,PIT,CBJ,,4,9,2,7,6,0,FALSE,TRUE,FALSE,FALSE,AW
11/14/23,CGY,MTL,CGY,MTL,,7,8,0,4,8,2,FALSE,TRUE,FALSE,FALSE,AW
11/14/23,VGK,WSH,WSH,VGK,,7,4,2,12,2,1,TRUE,FALSE,FALSE,FALSE,HW
11/14/23,ARI,DAL,DAL,,ARI,10,3,1,7,6,1,FALSE,FALSE,TRUE,FALSE,HS
11/14/23,ANA,NSH,ANA,NSH,,5,9,0,8,6,0,FALSE,TRUE,FALSE,FALSE,AW
11/14/23,TBL,STL,STL,TBL,,7,5,1,6,5,4,TRUE,FALSE,FALSE,FALSE,HW
11/14/23,NJD,WPG,WPG,NJD,,7,6,1,7,5,1,TRUE,FALSE,FALSE,FALSE,HW
11/14/23,FLA,SJS,FLA,SJS,,2,13,0,9,4,1,FALSE,TRUE,FALSE,FALSE,AW
11/15/23,PHI,CAR,PHI,CAR,,9,6,0,7,6,2,FALSE,TRUE,FALSE,FALSE,AW
11/15/23,SEA,EDM,EDM,,SEA,4,9,1,5,8,3,FALSE,FALSE,TRUE,FALSE,HS
11/15/23,ANA,COL,COL,ANA,,9,5,0,9,6,0,TRUE,FALSE,FALSE,FALSE,HW
11/15/23,NYI,VAN,VAN,,NYI,11,3,1,5,6,3,FALSE,FALSE,TRUE,FALSE,HS
11/16/23,DET,OTT,OTT,,DET,6,7,0,8,5,2,FALSE,FALSE,TRUE,FALSE,HS
11/16/23,ARI,CBJ,ARI,CBJ,,4,10,2,7,6,2,FALSE,TRUE,FALSE,FALSE,AW
11/16/23,VGK,MTL,VGK,MTL,,7,9,0,12,3,1,FALSE,TRUE,FALSE,FALSE,AW
11/16/23,NJD,PIT,NJD,PIT,,8,6,0,7,6,1,FALSE,TRUE,FALSE,FALSE,AW
11/16/23,TBL,CHI,TBL,CHI,,5,8,0,6,6,4,FALSE,TRUE,FALSE,FALSE,AW
11/16/23,VAN,CGY,CGY,VAN,,5,8,2,12,3,1,TRUE,FALSE,FALSE,FALSE,HW
11/16/23,NYI,SEA,SEA,,NYI,5,8,4,5,6,4,FALSE,FALSE,TRUE,FALSE,HS
11/16/23,FLA,LAK,LAK,FLA,,8,4,2,10,4,1,TRUE,FALSE,FALSE,FALSE,HW
11/16/23,STL,SJS,SJS,STL,,2,14,0,8,5,1,TRUE,FALSE,FALSE,FALSE,HW
11/17/23,TOR,DET,TOR,DET,,8,5,3,8,5,2,FALSE,TRUE,FALSE,FALSE,AW
11/17/23,BUF,WPG,WPG,BUF,,8,6,1,7,8,1,TRUE,FALSE,FALSE,FALSE,HW
11/17/23,FLA,ANA,FLA,ANA,,9,7,0,10,5,1,FALSE,TRUE,FALSE,FALSE,AW
11/18/23,MIN,OTT,OTT,,MIN,7,7,0,5,8,2,FALSE,FALSE,TRUE,FALSE,HS
11/18/23,VGK,PHI,PHI,,VGK,8,6,2,13,3,1,FALSE,FALSE,TRUE,FALSE,HS
11/18/23,CHI,NSH,NSH,CHI,,5,10,0,5,9,0,TRUE,FALSE,FALSE,FALSE,HW
11/18/23,EDM,TBL,TBL,EDM,,7,6,4,5,9,1,TRUE,FALSE,FALSE,FALSE,HW
11/18/23,MTL,BOS,BOS,MTL,,12,1,2,7,10,0,TRUE,FALSE,FALSE,FALSE,HW
11/18/23,PIT,CAR,CAR,PIT,,9,7,0,8,7,0,TRUE,FALSE,FALSE,FALSE,HW
11/18/23,NYI,CGY,NYI,,CGY,6,8,2,5,6,5,FALSE,FALSE,FALSE,TRUE,AS
11/18/23,NYR,NJD,NYR,NJD,,8,6,1,11,2,1,FALSE,TRUE,FALSE,FALSE,AW
11/18/23,ARI,WPG,WPG,ARI,,9,6,1,8,6,2,TRUE,FALSE,FALSE,FALSE,HW
11/18/23,CBJ,WSH,WSH,CBJ,,8,4,2,4,11,2,TRUE,FALSE,FALSE,FALSE,HW
11/18/23,COL,DAL,COL,DAL,,11,3,1,10,5,0,FALSE,TRUE,FALSE,FALSE,AW
11/18/23,SEA,VAN,SEA,VAN,,12,4,1,6,8,4,FALSE,TRUE,FALSE,FALSE,AW
11/18/23,STL,LAK,LAK,STL,,9,4,2,8,6,1,TRUE,FALSE,FALSE,FALSE,HW
11/19/23,TOR,MIN,TOR,,MIN,5,8,3,9,5,2,FALSE,FALSE,FALSE,TRUE,AS
11/19/23,CBJ,PHI,PHI,CBJ,,9,6,2,4,12,2,TRUE,FALSE,FALSE,FALSE,HW
11/19/23,VGK,PIT,PIT,VGK,,8,8,0,13,3,2,TRUE,FALSE,FALSE,FALSE,HW
11/19/23,BUF,CHI,BUF,CHI,,5,10,0,7,9,1,FALSE,TRUE,FALSE,FALSE,AW
11/19/23,STL,ANA,STL,ANA,,9,8,0,8,7,1,FALSE,TRUE,FALSE,FALSE,AW
11/20/23,EDM,FLA,FLA,EDM,,11,5,1,5,10,1,TRUE,FALSE,FALSE,FALSE,HW
